alive ,alive_since     ,anonymity   ,average_timeout    ,first_seen      ,ip_data_as                                                                                                                      ,ip_data_asname                                    ,ip_data_city                 ,ip_data_continent ,ip_data_continentCode ,ip_data_country          ,ip_data_countryCode ,ip_data_district            ,ip_data_hosting ,ip_data_isp                                                           ,ip_data_lat ,ip_data_lon ,ip_data_mobile ,ip_data_org                                                     ,ip_data_proxy ,ip_data_regionName                    ,ip_data_status ,ip_data_timezone               ,ip_data_zip ,ip_data_last_update ,last_seen       ,port  ,protocol ,proxy                          ,ssl   ,timeout            ,times_alive ,times_dead ,uptime             ,ip
true  ,1731215237.5385 ,elite       , 3680.6194762397   ,1730685415.759  ,"AS30083 GoDaddy.com, LLC"                                                                                                      ,AS-30083-GO-DADDY-COM-LLC                         ,"St Louis"                   ,"North America"   ,NA                    ,"United States"          ,US                  ,                            ,true            ,"GoDaddy.com, LLC"                                                    ,38.6287     ,-90.1988    ,false          ,"GoDaddy.com, LLC"                                              ,false         ,Missouri                              ,success        ,America/Chicago                ,63188       ,         1730685427 ,1731215237.5385 ,30119 ,http     ,http://148.72.168.81:30119     ,false , 1081.4568996429   ,       2521 ,      5662 ,30.807772210681    ,148.72.168.81
true  ,1731215237.4239 ,elite       , 9838.984924814    ,1722596885.3108 ,                                                                                                                                ,                                                  ,                             ,                  ,                      ,                         ,                    ,                            ,                ,                                                                      ,            ,            ,               ,                                                                ,              ,                                      ,               ,                               ,            ,                    ,1731215237.4239 , 8888 ,socks4   ,socks4://244.52.131.91:8888    ,true  , 3255.4569244385   ,        184 ,     36891 , 0.49629130141605  ,244.52.131.91
true  ,1731215236.7256 ,elite       , 2786.3247414348   ,1719360095.3383 ,"AS36666 GloboTech Communications"                                                                                              ,GTCOMM                                            ,Montreal                     ,"North America"   ,NA                    ,Canada                   ,CA                  ,Ville-Marie                 ,true            ,"GloboTech Communications"                                            ,45.5049     ,-73.573     ,false          ,                                                                ,true          ,Quebec                                ,success        ,America/Toronto                ,H4X         ,         1731196961 ,1731215236.7256 , 6929 ,http     ,http://67.43.227.228:6929      ,false , 1437.5739097595   ,        482 ,     68551 , 0.69821679486622  ,67.43.227.228
true  ,1731215222.0418 ,elite       , 3304.9758386612   ,1717683345.6521 ,"AS36666 GloboTech Communications"                                                                                              ,GTCOMM                                            ,Montreal                     ,"North America"   ,NA                    ,Canada                   ,CA                  ,Ville-Marie                 ,true            ,"GloboTech Communications"                                            ,45.5049     ,-73.573     ,false          ,                                                                ,true          ,Quebec                                ,success        ,America/Toronto                ,H4X         ,         1731074895 ,1731215236.3942 ,19591 ,http     ,http://67.43.227.228:19591     ,false ,  838.3686542511   ,        550 ,     95028 , 0.57544623239658  ,67.43.227.228
true  ,1731215035.021  ,elite       , 1268.9009218399   ,1710634192.8267 ,"AS17621 China Unicom Shanghai network"                                                                                         ,CNCGROUP-SH                                       ,Shanghai                     ,Asia              ,AS                    ,China                    ,CN                  ,                            ,false           ,"CNC Group CHINA169 Shanghai Province Network"                        ,31.2222     ,121.4581    ,true           ,                                                                ,true          ,Shanghai                              ,success        ,Asia/Shanghai                  ,            ,         1730721581 ,1731215236.2781 , 9002 ,http     ,http://58.246.58.150:9002      ,false , 1124.7560977936   ,     313237 ,     30703 ,91.073152294005    ,58.246.58.150
true  ,1731214918.5116 ,elite       ,  895.92948010317  ,1729922397.594  ,"AS4837 CHINA UNICOM China169 Backbone"                                                                                         ,CHINA169-Backbone                                 ,Jinan                        ,Asia              ,AS                    ,China                    ,CN                  ,                            ,false           ,"CNC Group CHINA169 Shandong Province Network"                        ,36.6756     ,117.0211    ,false          ,                                                                ,false         ,Shandong                              ,success        ,Asia/Shanghai                  ,            ,         1731132158 ,1731215236.2718 ,   81 ,http     ,http://119.188.93.251:81       ,false ,  912.06645965576  ,      17687 ,      1550 ,91.942610594167    ,119.188.93.251
true  ,1731215235.7126 ,elite       , 3309.5454622985   ,1726529110.5839 ,"AS36666 GloboTech Communications"                                                                                              ,GTCOMM                                            ,Montreal                     ,"North America"   ,NA                    ,Canada                   ,CA                  ,Ville-Marie                 ,true            ,"GloboTech Communications"                                            ,45.5049     ,-73.573     ,false          ,                                                                ,true          ,Quebec                                ,success        ,America/Toronto                ,H4X         ,         1730894405 ,1731215235.7126 ,22277 ,http     ,http://67.43.236.21:22277      ,false , 1373.1653690338   ,        157 ,     21788 , 0.71542492595124  ,67.43.236.21
true  ,1731215235.4621 ,elite       ,  498.39332027035  ,1710548263.4531 ,"AS133957 SOL-BD"                                                                                                               ,SOL-BD                                            ,Dhaka                        ,Asia              ,AS                    ,Bangladesh               ,BD                  ,                            ,false           ,"BTS COMMUNICATIONS LTD"                                              ,23.7731     ,90.3657     ,false          ,"BTS Communications Ltd."                                       ,false         ,"Dhaka Division"                      ,success        ,Asia/Dhaka                     ,1207        ,         1730679699 ,1731215235.4621 ,   80 ,http     ,http://103.49.202.252:80       ,false ,  429.53586578369  ,     283089 ,    100141 ,73.869216919343    ,103.49.202.252
true  ,1731215235.3147 ,elite       , 4413.4034515095   ,1697275333.4727 ,"AS37451 CONGO TELECOM"                                                                                                         ,CongoTelecom                                      ,Brazzaville                  ,Africa            ,AF                    ,"Republic of the Congo"  ,CG                  ,Moungali                    ,false           ,"Congo Telecom"                                                       ,-4.25321    ,15.2727     ,false          ,                                                                ,false         ,Pool                                  ,success        ,Africa/Brazzaville             ,            ,         1731093086 ,1731215235.3147 , 4145 ,socks4   ,socks4://197.157.254.34:4145   ,true  , 3807.6846599579   ,       3569 ,    171256 , 2.04147004147     ,197.157.254.34
true  ,1731215235.1079 ,elite       , 4420.7363936894   ,1728503925.2958 ,"AS24940 Hetzner Online GmbH"                                                                                                   ,HETZNER-AS                                        ,Falkenstein                  ,Europe            ,EU                    ,Germany                  ,DE                  ,                            ,true            ,"Hetzner Online GmbH"                                                 ,50.4777     ,12.3649     ,false          ,Hetzner                                                         ,false         ,Saxony                                ,success        ,Europe/Berlin                  ,08223       ,         1730923275 ,1731215235.1079 ,   80 ,http     ,http://46.4.94.62:80           ,false , 4086.6005420685   ,       9716 ,     29470 ,24.794569489103    ,46.4.94.62
